batch_size,loss,params
512,0.044270075568632196,"[0, 1, 336, 0.01, 0.01]"
212,0.044454598679675994,"[1, 7, 164, 0.20262859097629302, 0.0008943893825695959]"
293,0.04448615893540598,"[1, 2, 390, 0.6598023952793066, 3.349608505442664e-08]"
114,0.044606147020332165,"[0, 6, 230, 0.019724306960284106, 0.00031505724977994276]"
512,0.04475173707921636,"[0, 8, 282, 0.20245671909036259, 1.763333429302979e-05]"
117,0.04487012677937963,"[0, 4, 389, 0.5110207123172383, 4.318487561816723e-06]"
363,0.04500692650055848,"[0, 5, 337, 0.39351375173345865, 3.745961786305628e-05]"
96,0.04503588111198958,"[0, 8, 344, 0.21850966499953406, 0.0004709507562545394]"
387,0.04533111767113027,"[1, 9, 427, 0.46447415748905924, 2.3324069229222294e-06]"
200,0.04600098153288159,"[1, 6, 112, 0.6100183015722225, 0.004568688678283299]"
92,0.04607919931200802,"[0, 4, 16, 0.057813778367439624, 0.01]"
235,0.046092287426794026,"[0, 7, 24, 0.1803757411996945, 3.519691535675515e-11]"
449,0.046169279244323035,"[1, 7, 353, 0.3127230423689004, 0.0004754320133905516]"
194,0.04626720386196331,"[0, 10, 487, 0.29910741794677775, 8.570850481973268e-09]"
259,0.04641982996206683,"[0, 4, 16, 0.21158252208666675, 1.0142286663504137e-06]"
444,0.04651125386818095,"[1, 6, 16, 0.14135247854030886, 1.9611147689324157e-08]"
96,0.04652100254294256,"[0, 5, 16, 0.029975026824150965, 0.007465847947856094]"
104,0.04656149064830443,"[1, 3, 62, 0.6086176361050315, 1.1244172670092088e-13]"
184,0.04659344769613679,"[1, 4, 346, 0.29088889584587646, 0.01]"
130,0.04661665695023958,"[1, 6, 295, 0.5434718335032507, 8.221796871888396e-06]"
303,0.04663402796876607,"[0, 4, 460, 0.10597849949056021, 0.004042356699942127]"
294,0.04687836394913261,"[0, 5, 299, 0.5522274730103636, 1.147096376778604e-10]"
134,0.04691204974179724,"[1, 6, 497, 0.17776937638356832, 0.004955078759994922]"
196,0.04691870236394885,"[0, 5, 197, 0.20334948663024555, 0.01]"
376,0.04701833119158389,"[0, 6, 37, 0.3668880224757638, 0.0014098835468427738]"
68,0.04721482689119225,"[1, 7, 243, 0.27542539976782, 0.0003181883570210159]"
100,0.047305924093678564,"[0, 8, 258, 0.35729260455322864, 6.1475119794441624e-06]"
99,0.04730627236387142,"[0, 5, 220, 0.48878198371331877, 0.0004293400343844275]"
227,0.04734291458674589,"[0, 8, 350, 0.5211202493009847, 2.9724520202427715e-08]"
246,0.047415988497548994,"[0, 8, 57, 0.27807646384356743, 1.8283126965667315e-09]"
141,0.04760419161247637,"[0, 4, 16, 0.2551958743397616, 0.0014631199419795203]"
233,0.04765269184043707,"[1, 6, 218, 0.6020156897306352, 1.4563366779009375e-11]"
182,0.047655245955160665,"[1, 3, 512, 0.4300178326745903, 0.01]"
170,0.04812580121147956,"[1, 8, 292, 0.6252170593379113, 6.541324441712222e-14]"
223,0.04815651812918074,"[0, 6, 16, 0.2245760209978712, 1.0359423210380911e-10]"
217,0.04820536880666878,"[0, 9, 321, 0.34784058163741743, 0.00014000337652353523]"
101,0.04835213175268167,"[1, 8, 342, 0.429918992897738, 1.5960822589729834e-09]"
171,0.048463194086976774,"[0, 5, 275, 0.30308543688309764, 0.01]"
308,0.04872637847395748,"[0, 10, 146, 0.015053543903497738, 0.009171211171971295]"
491,0.0488285909327317,"[1, 7, 307, 0.5228669176948099, 6.296040074975529e-10]"
67,0.04883772639226153,"[0, 7, 16, 0.2405777082262678, 0.01]"
263,0.04890363618778404,"[0, 7, 447, 0.4097259288994608, 8.055851732313168e-11]"
501,0.04896678860884046,"[1, 10, 38, 0.21327710295968869, 8.266798527821243e-13]"
112,0.04978724398299884,"[0, 5, 466, 0.6753270867829065, 3.0282080831134455e-14]"
341,0.049925105838965055,"[0, 10, 16, 0.01, 0.01]"
373,0.05001780657607716,"[1, 9, 286, 0.5888849791527906, 2.6291307477277845e-06]"
197,0.05033724838419789,"[1, 3, 80, 0.6715939814084527, 1.324111825874518e-15]"
292,0.05045867909476224,"[0, 9, 458, 0.5066272249351675, 2.0052863139051047e-08]"
364,0.050659970019075046,"[0, 8, 16, 0.025508017136111456, 0.01]"
339,0.050768025220835955,"[0, 5, 16, 0.1250725802302751, 0.01]"
351,0.05201466902833552,"[0, 7, 491, 0.5265318385116662, 0.0009374390833011894]"
156,0.057399445811483256,"[0, 10, 244, 0.4291544806231305, 0.01]"
416,0.08276372368583831,"[0, 9, 350, 0.6917012983296478, 1.9623332794106e-11]"
64,0.12160445640343581,"[0, 10, 512, 0.7, 1.8755455434468717e-09]"
164,1.2297143411849503,"[0, 9, 489, 0.059010898986292366, 7.789670154057775e-09]"
64,1.3058274904926723,"[1, 10, 452, 0.01, 1.7393275331051264e-10]"
